"country","subregion","region","status","species","species_functional_group","marine_inland","scale","catch_avg_annuaL_tonnes","calcium","iron","selenium","zinc","vitamin_a","omega_3","protein","ca_rni","fe_rni","se_rni","zn_rni","vita_rni","om_rni","nutrient_density","lmat"
"Senegal","Western Africa","Africa","Lower middle income","Acanthurus monroviae","Miscellaneous coastal fishes","Marine","Small-scale",79.776,171.646361798128,1.32823719195136,34.5686173151915,2.47925506993771,11.3658268323813,0.400290393752218,16.8719231376378,17.1646361798128,4.51781357806586,100,50.5970422436268,2.27316536647626,36.3900357956562,210.942693163638,26.5
"Mexico","North America","Americas","Upper middle income","Acanthurus xanthopterus","Reef-associated fishes","Marine","Small-scale",39.1698076925,45.1258202613211,0.698982800609357,26.6350714357188,1.98681582925078,31.3013487201186,0.127005500029988,19.3816433525503,4.51258202613211,2.37749251907944,100,40.5472618214444,6.26026974402371,11.5459545481807,165.24356065886,35.5
"Brazil","South America","Americas","Upper middle income","Mixed","Miscellaneous freshwater fishes","Inland","Small-scale",6.31065,121.234171464592,0.980662893869363,35.8022261070445,1.32683109042434,69.6749992881091,0.337582221404374,18.3910600265229,12.1234171464592,3.33558807438559,100,27.0781855188642,13.9349998576218,30.689292854943,187.161483452274, 
"Egypt","Northern Africa","Africa","Lower middle income","Mixed","Miscellaneous freshwater fishes","Inland","Small-scale",12078.8,121.234171464592,0.980662893869363,35.8022261070445,1.32683109042434,69.6749992881091,0.337582221404374,18.3910600265229,12.1234171464592,3.33558807438559,100,27.0781855188642,13.9349998576218,30.689292854943,187.161483452274, 
"Madagascar","Eastern Africa","Africa","Low income","Mixed","Miscellaneous freshwater fishes","Inland","Small-scale",15306.43955,121.234171464592,0.980662893869363,35.8022261070445,1.32683109042434,69.6749992881091,0.337582221404374,18.3910600265229,12.1234171464592,3.33558807438559,100,27.0781855188642,13.9349998576218,30.689292854943,187.161483452274, 
"Mexico","North America","Americas","Upper middle income","Mixed","Miscellaneous freshwater fishes","Inland","Small-scale",194.580690525,121.234171464592,0.980662893869363,35.8022261070445,1.32683109042434,69.6749992881091,0.337582221404374,18.3910600265229,12.1234171464592,3.33558807438559,100,27.0781855188642,13.9349998576218,30.689292854943,187.161483452274, 
"Thailand","South-Eastern Asia","Asia","Upper middle income","Mixed","Miscellaneous freshwater fishes","Inland","Small-scale",1692.23,121.234171464592,0.980662893869363,35.8022261070445,1.32683109042434,69.6749992881091,0.337582221404374,18.3910600265229,12.1234171464592,3.33558807438559,100,27.0781855188642,13.9349998576218,30.689292854943,187.161483452274, 
"India","Southern Asia","Asia","Lower middle income","Mixed","Tunas, bonitos, billfishes","Marine","Small-scale",629.397733333333,121.234171464592,0.980662893869363,35.8022261070445,1.32683109042434,69.6749992881091,0.337582221404374,18.3910600265229,12.1234171464592,3.33558807438559,100,27.0781855188642,13.9349998576218,30.689292854943,187.161483452274, 
"Indonesia","South-Eastern Asia","Asia","Lower middle income","Aethaloperca rogaa","Reef-associated fishes","Marine","Large-scale",10.0285810966666,31.255322862701,0.304948217528507,59.0254328690549,0.570999439349312,118.79588396205,0.146838951125759,18.2347193744767,3.1255322862701,1.03723883513098,100,11.653049782639,23.75917679241,13.3489955568872,152.923993253337,34.1
"Indonesia","South-Eastern Asia","Asia","Lower middle income","Aethaloperca rogaa","Reef-associated fishes","Marine","Small-scale",1.30566377737182,31.255322862701,0.304948217528507,59.0254328690549,0.570999439349312,118.79588396205,0.146838951125759,18.2347193744767,3.1255322862701,1.03723883513098,100,11.653049782639,23.75917679241,13.3489955568872,152.923993253337,34.1
"Ghana","Western Africa","Africa","Lower middle income","Aetobatus narinari","Sharks, rays, chimaeras","Marine","Small-scale",3.029,21.5279919793849,0.814320044439327,27.7232090116497,0.630208962325762,10.5007194532498,0.444654771037028,19.6815045636534,2.15279919793849,2.76979606952152,100,12.8614073944033,2.10014389064997,40.4231610033662,160.30730755588,111.8
"Mexico","North America","Americas","Upper middle income","Aetobatus narinari","Sharks, rays, chimaeras","Marine","Small-scale",190.558191525,21.5279919793849,0.814320044439327,27.7232090116497,0.630208962325762,10.5007194532498,0.444654771037028,19.6815045636534,2.15279919793849,2.76979606952152,100,12.8614073944033,2.10014389064997,40.4231610033662,160.30730755588,111.8
"Mexico","North America","Americas","Upper middle income","Mixed","Sharks, rays, chimaeras","Inland","Small-scale",4.096125,14.8247630707753,0.759526449565347,21.9298629268213,0.659004490613523,16.4159414172286,0.34454581418628,20.8087265421236,1.48247630707753,2.58342329784132,84.3456266416203,13.4490712370107,3.28318828344572,31.3223467442072,136.466132511203, 
"Mexico","North America","Americas","Upper middle income","Mixed","Sharks, rays, chimaeras","Marine","Small-scale",1278.20282475,14.8247630707753,0.759526449565347,21.9298629268213,0.659004490613523,16.4159414172286,0.34454581418628,20.8087265421236,1.48247630707753,2.58342329784132,84.3456266416203,13.4490712370107,3.28318828344572,31.3223467442072,136.466132511203, 
"Indonesia","South-Eastern Asia","Asia","Lower middle income","Aetobatus ocellatus","Sharks, rays, chimaeras","Marine","Large-scale",395.421778333333,28.4854635739424,0.529807533383573,60.2397956341884,0.754176555149332,13.3400744784582,0.284476634645459,19.0789842702868,2.84854635739424,1.80206644008018,100,15.3913582683537,2.66801489569164,25.8615122404963,148.571498202016,141.4
"Indonesia","South-Eastern Asia","Asia","Lower middle income","Aetobatus ocellatus","Sharks, rays, chimaeras","Marine","Small-scale",46.8934767668699,28.4854635739424,0.529807533383573,60.2397956341884,0.754176555149332,13.3400744784582,0.284476634645459,19.0789842702868,2.84854635739424,1.80206644008018,100,15.3913582683537,2.66801489569164,25.8615122404963,148.571498202016,141.4
"Senegal","Western Africa","Africa","Lower middle income","Aetomylaeus bovinus","Sharks, rays, chimaeras","Marine","Small-scale",5.425,25.7961220245519,1.01974598995723,29.4968340727905,0.674257379767614,5.95855119669081,0.289764052614855,19.6753450554915,2.57961220245519,3.46852377536473,100,13.760354689135,1.19171023933816,26.3421866013505,147.342387507644,108.4
"Indonesia","South-Eastern Asia","Asia","Lower middle income","Aetomylaeus nichofii","Sharks, rays, chimaeras","Marine","Large-scale",4305.174337,93.8595624608746,0.901366840307135,51.3998780201241,1.07044590093351,21.0047532547846,0.291727472563971,19.4594192158123,9.38595624608746,3.06587360648685,100,21.8458347129289,4.20095065095692,26.5206793239974,165.019294540457,36.6
"Indonesia","South-Eastern Asia","Asia","Lower middle income","Aetomylaeus nichofii","Sharks, rays, chimaeras","Marine","Small-scale",637.249452335301,93.8595624608746,0.901366840307135,51.3998780201241,1.07044590093351,21.0047532547846,0.291727472563971,19.4594192158123,9.38595624608746,3.06587360648685,100,21.8458347129289,4.20095065095692,26.5206793239974,165.019294540457,36.6
"Mexico","North America","Americas","Upper middle income","Mixed","Miscellaneous coastal fishes","Inland","Small-scale",55.052075,90.7056349151172,0.850368502512182,54.027521077169,0.993790465026333,28.3425477505768,0.340715652819325,18.3624265348315,9.07056349151172,2.89240987249042,100,20.2814380617619,5.66850955011536,30.9741502563023,168.887071232182,30.52
"Mexico","North America","Americas","Upper middle income","Mixed","Miscellaneous coastal fishes","Marine","Small-scale",28.3226666666667,90.7056349151172,0.850368502512182,54.027521077169,0.993790465026333,28.3425477505768,0.340715652819325,18.3624265348315,9.07056349151172,2.89240987249042,100,20.2814380617619,5.66850955011536,30.9741502563023,168.887071232182,30.52
"Mexico","North America","Americas","Upper middle income","Albula argentea","Miscellaneous coastal fishes","Marine","Small-scale",9.7768,115.971267753873,0.768108464277237,85.5091619654803,0.886241769166517,12.9475876087424,0.270519851493782,18.6597297662317,11.5971267753873,2.61261382407224,100,18.086566717684,2.58951752174848,24.592713772162,159.478538611054,39.1
"Mexico","North America","Americas","Upper middle income","Albula nemoptera","Miscellaneous coastal fishes","Marine","Small-scale",1.40525,200.193614289789,1.13560664416899,78.6464204689196,1.26519591768492,16.1793647683134,0.572247842847555,17.4494824852274,20.0193614289789,3.86260763322786,100,25.8203248507126,3.23587295366268,52.0225311679595,204.960698034542,29.5
"Guinea","Western Africa","Africa","Low income","Albula vulpes","Reef-associated fishes","Marine","Large-scale",111.72,30.3462636984316,0.99641880221516,24.5011255341639,0.902769687268782,26.7489734747914,0.427400245166359,18.9140562937096,3.03462636984316,3.38917959937129,94.2350982083226,18.4238711687507,5.34979469495828,38.8545677423963,163.287137783642,42.4
"Senegal","Western Africa","Africa","Lower middle income","Albula vulpes","Reef-associated fishes","Marine","Large-scale",113.25,30.3462636984316,0.99641880221516,24.5011255341639,0.902769687268782,26.7489734747914,0.427400245166359,18.9140562937096,3.03462636984316,3.38917959937129,94.2350982083226,18.4238711687507,5.34979469495828,38.8545677423963,163.287137783642,42.4
